solver,r,c,comp,time,sing_values
randomized,20000,600,15,0.4126451730728149,"[4778.950095966509, 4772.005707200442, 4760.386125439139, 4758.894807350716, 4753.853988159435, 4743.189529476691, 4742.1626488115035, 4734.095894417026, 4722.091208331253, 4715.528313072785, 4713.761893296733, 4073.258048170868, 0.4585749712503522, 0.45826217330557956, 0.45605700501619995]"
randomized,60000,100,4,0.2027295112609863,"[7337.458108245671, 7099.024701922923, 0.7223854221608478, 0.7196905391670962]"
randomized,50000,400,15,0.7282494068145752,"[7023.2408871438865, 7011.783543380211, 7006.778747814395, 7002.021523074147, 6992.814576475418, 6990.69688388202, 6984.954079152228, 6449.513617680083, 0.6797080053528547, 0.6785232992771677, 0.6783191089790295, 0.6769394507239552, 0.6748238939545058, 0.6741187213454717, 0.6734340099382001]"
randomized,50000,200,8,0.3256399631500244,"[6841.235073520947, 6837.411939964267, 6834.127292601151, 6448.062394003369, 0.6682535868926789, 0.6661156824736232, 0.6646570239813911, 0.6643725111649105]"
full,20000,100,3,0.0839823961257934,"[4370.042744383583, 4100.394200089637, 0.43428221472786244]"
full,10000,400,6,0.2503085851669311,"[3446.430236906098, 3440.3076498464816, 3431.6131569399104, 3430.080826683977, 3420.177300870282, 3412.1411156099225]"
full,10000,300,9,0.1539680004119873,"[3372.939801914309, 3361.448838191562, 3347.1528138341773, 3336.2594491589857, 3331.1593666187987, 2907.999575812757, 0.33271874759646036, 0.3324082077399032, 0.33201132034138625]"
randomized,20000,1000,17,0.7044983386993409,"[4982.466033149155, 4975.630697495663, 4972.591435576575, 4968.763581666693, 4965.001892406019, 4960.285225204011, 4952.055714981017, 4946.988213717085, 4941.64943565264, 4936.110519063777, 4933.734014200356, 4922.024331934956, 4920.2415368824795, 4917.472982898756, 4912.190405072644, 4907.86860544459, 4906.817829494157]"
full,30000,800,17,2.6945958614349363,"[5806.536530433924, 5794.36624482012, 5787.119302686784, 5783.280955942346, 5777.557258767923, 5770.6511055934925, 5768.634797791003, 5760.5748541480625, 5752.517310800785, 5749.388544971532, 5746.16129587723, 5741.09128966292, 5738.646650179153, 5736.104264508966, 5731.658723985509, 4994.642687704618, 0.5729188218178057]"
randomized,30000,100,10,0.129323410987854,"[5272.332492355376, 5019.635962507879, 0.5195491750916794, 0.5169122609213764, 0.5150252282130855, 0.5136024213556596, 0.5130853521225386, 0.5127005024324204, 0.5112969590027804, 0.5107755550493478]"
full,40000,800,12,3.626976799964905,"[6575.1547561950265, 6563.35002585502, 6559.761904905747, 6549.1242879699475, 6548.224578388229, 6545.789333878245, 6534.938236797576, 6529.958537504508, 6527.153178564517, 6521.687382591686, 6517.188907531448, 6516.305355880052]"
randomized,20000,500,6,0.3281038999557495,"[4716.9990642964185, 4708.638486998775, 4698.771192054121, 4696.939928542368, 4684.755600146224, 4677.638157842515]"
full,50000,800,11,4.566137528419494,"[7262.9072008661715, 7249.008113685053, 7236.840715427934, 7235.245987943122, 7233.977665684407, 7224.430002211213, 7217.315943088206, 7215.210382586323, 7212.691715201177, 7209.525351045783, 7203.301983597417]"
