solver,r,c,comp,time,sing_values
randomized,70000,400,18,1.3378589153289795,"[80.20722819013898, 80.07639478582325, 79.83298943139526, 79.82954953788149, 79.68798727565374, 79.5592571459279, 79.4636576038073, 79.38122043843633, 79.2509707474861, 79.22165969838366, 79.16366249576983, 79.02136315589092, 78.92333653520022, 78.83663556553802, 78.8043969506063, 78.64788488846274, 78.56735777802965, 78.5059141124014]"
full,100000,1000,6,6.389761686325073,"[100.27464016637838, 100.22415425768723, 100.19148404462959, 100.10933975943227, 100.03264341082941, 99.99452886025414]"
randomized,10000,700,10,0.5667619705200195,"[35.61182825946238, 35.52137617128408, 35.19615898408971, 35.1478435128617, 35.119207754395546, 35.03872883481946, 34.90516353122714, 34.821829908559096, 34.724192932821, 34.681789641913625]"
randomized,10000,800,10,0.547727108001709,"[36.19441928203074, 35.94224772432331, 35.82753476513444, 35.74676015265398, 35.65636914755869, 35.58757708822237, 35.516292793287214, 35.485232991394724, 35.36691614251115, 35.31973669890317]"
full,20000,200,2,0.1140105724334716,"[44.935071522564684, 44.73336003569761]"
randomized,30000,100,1,0.2424860000610351,[51.57601556633276]
full,90000,600,2,2.9391117095947266,"[93.4946742375939, 93.39501866372187]"
full,80000,400,18,1.8700861930847168,"[87.3478582457429, 87.27720791522182, 87.20812187869035, 87.0759324363498, 87.03494234861243, 86.98682856069264, 86.91971620177381, 86.83232985319856, 86.81173222583294, 86.77217357381976, 86.7356544256856, 86.65886199126552, 86.60424079767854, 86.56410668060887, 86.54084310863658, 86.47207690391829, 86.46298422207363, 86.35409081366542]"
full,40000,700,2,1.4434657096862793,"[65.38941951948082, 65.14661399851198]"
randomized,80000,300,8,0.8834707736968994,"[84.77430870054958, 84.58187103504233, 84.37767323196331, 84.24840157125807, 84.0544254055521, 83.93861146384262, 83.84148475484616, 83.75860453452451]"
randomized,90000,400,12,1.064846754074097,"[90.06116484938596, 90.0066823647653, 89.93230666152047, 89.67216300334263, 89.60242259183494, 89.49815608221466, 89.3784293173309, 89.26608324749566, 89.15245953048073, 89.08549373082282, 89.02837987478283, 88.94517425160485]"
full,60000,1000,6,4.181463956832886,"[79.75422597458858, 79.66496940652873, 79.59815684801274, 79.54836792870249, 79.43271191222017, 79.37396567985897]"
full,80000,800,16,4.330074787139893,"[89.68361411511323, 89.63874308275993, 89.52275453489968, 89.46956039868172, 89.43483055347514, 89.36104679949254, 89.32702248735687, 89.24147597743864, 89.22916471331109, 89.20359503462784, 89.17078576336279, 89.08924446451533, 89.07797186755398, 89.03011982368497, 89.00307955820305, 88.97855911184008]"
randomized,90000,100,14,0.7302212715148926,"[88.18541813263755, 88.10579871658068, 88.00148908664325, 87.97184755755443, 87.85979791822476, 87.62525839079404, 87.57892983944836, 87.46679954626602, 87.37696531041071, 87.2854441353066, 87.18946125104567, 87.15799254137721, 87.05830560370397, 86.93363531496736]"
full,50000,500,4,1.8508729934692385,"[70.89867469255186, 70.83387099462435, 70.71275971374706, 70.63321869194552]"
randomized,20000,200,20,0.8092803955078125,"[44.31059335013255, 44.08018136877455, 43.93912339687523, 43.808173029759516, 43.69916967820963, 43.48438349145134, 43.4085022389664, 43.3204887476198, 43.229350127783924, 43.18234205882323, 43.06362630231154, 43.00040002526093, 42.916084491889876, 42.77914469304887, 42.72972599490027, 42.65153064006589, 42.59376304661746, 42.50765040466958, 42.442601657302866, 42.3741460559646]"
full,80000,900,18,4.235200166702271,"[90.2203760467062, 90.15836590018921, 90.11864463931356, 90.09769974769786, 90.0089255215224, 89.90025537325968, 89.83712699141341, 89.77655248453576, 89.73931431995119, 89.71157948363266, 89.66150628528523, 89.61520222270453, 89.59705752331084, 89.58701910808284, 89.5431796603017, 89.48805899612572, 89.45676343079955, 89.44058344486206]"
full,20000,300,8,0.2513210773468017,"[45.73789474016504, 45.57106365531848, 45.52483034540761, 45.36707032653421, 45.27814170937349, 45.19803670974305, 45.16398819801952, 45.15512635104896]"
